# Title: Modeling the JWST MIRI Counts, Insights Into the Source Properties and Role of Dust-Obscured AGN
# Authors: Edgar P. Vidal, Anna Sajina, Amber R. Banks, Matthieu Bethermin,
#          Carl Ferkinhoff, Andreea Petric, Alexandra Pope, Jianwei Lyu,
#          Vivian U, L. Y. Aaron Yung, Pallavi Patil
# Table: AGN + Composite Total Integral Number Counts Figure 11
# ==============================================================================
# Byte-by-byte Description of file: Vidal_2025_total_AGN_counts.txt
# ------------------------------------------------------------------------------
#   Bytes Format Units   Label         Explanations
# ------------------------------------------------------------------------------
#   1- 21  F20.6    uJy     flux_uJy      Flux density bin center
#  23- 31  F8.6     1 / deg2 N_F560W       N(>S) for F560W
#  33- 51  F18.6    1 / deg2 e_F560W       Uncertainty on N_F560W
#  53- 61  F8.6     1 / deg2 N_F770W       N(>S) for F770W
#  63- 81  F18.6    1 / deg2 e_F770W       Uncertainty on N_F770W
#  83- 91  F8.6     1 / deg2 N_F1000W      N(>S) for F1000W
#  93-111  F18.6    1 / deg2 e_F1000W      Uncertainty on N_F1000W
# 113-121  F8.6     1 / deg2 N_F1280W      N(>S) for F1280W
# 123-141  F18.6    1 / deg2 e_F1280W      Uncertainty on N_F1280W
# 143-151  F8.6     1 / deg2 N_F1500W      N(>S) for F1500W
# 153-171  F18.6    1 / deg2 e_F1500W      Uncertainty on N_F1500W
# 173-181  F8.6     1 / deg2 N_F1800W      N(>S) for F1800W
# 183-201  F18.6    1 / deg2 e_F1800W      Uncertainty on N_F1800W
# 203-211  F8.6     1 / deg2 N_F2100W      N(>S) for F2100W
# 213-231  F18.6    1 / deg2 e_F2100W      Uncertainty on N_F2100W
# 233-241  F8.6     1 / deg2 N_F2550W      N(>S) for F2550W
# 243-261  F18.6    1 / deg2 e_F2550W      Uncertainty on N_F2550W
# ------------------------------------------------------------------------------
# Note: Effective area of sim = 2 deg^2, bin width (log) = 0.05
#       N(>S) = integral number counts (sources per deg^2 above flux S)
# ------------------------------------------------------------------------------
flux_uJy N_F560W e_F560W N_F770W e_F770W N_F1000W e_F1000W N_F1280W e_F1280W N_F1500W e_F1500W N_F1800W e_F1800W N_F2100W e_F2100W N_F2550W e_F2550W
0.5317642794088108 23765.5 721.9033453106971 25847.0 768.9878454167828 28590.0 830.3407837414397 33486.5 918.6438301929538 38387.5 994.473739275431 45621.0 1092.7797345236813 51572.5 1163.9858643917028 65001.5 1318.060430115651
0.5966493348352713 22032.5 692.466973251627 23978.5 738.4223419856269 26650.5 799.1999745033997 31371.5 886.1246051099356 36131.0 960.8843064132941 43083.0 1057.1567082625677 48869.0 1127.2197114790033 61780.5 1277.9293947440087
0.6694515644321657 20433.5 664.1915422204296 22230.5 708.8588509874379 24838.0 769.0959880564191 29398.5 854.7160075608568 34069.5 928.7790108999368 40697.5 1022.6204953839094 46205.0 1090.723136297214 58648.0 1238.353518253399
0.7511370095542098 18912.5 636.6143777541542 20640.5 680.6631066276946 23081.5 739.4607050309442 27550.0 824.3145273337364 32034.5 896.8807350844636 38440.5 989.0273413194278 43696.0 1055.3042148003644 55606.0 1199.353518253399
0.8427895864290138 17484.0 609.8889217243687 19102.0 652.9277501309772 21481.5 711.1764337834823 25812.5 794.8399620273574 30127.0 865.9978919510991 36251.0 955.9403348062964 41241.0 1020.2685187176547 52721.0 1161.373260223733
0.945625469066873 16188.0 584.433077601653 17728.0 626.7170652868149 19979.5 683.7720545713928 24151.0 766.0172279446928 28343.5 836.1357085078208 34184.5 923.7961284854056 38891.5 985.993892534427 49805.5 1123.1927678225081
1.0610092271509821 14973.0 559.7855625139206 16387.5 600.8278783548157 18613.0 657.6330033261773 22577.0 737.9637076664817 26611.5 806.7078305686965 32175.0 892.0983367642147 36607.0 952.1967033021847 47024.0 1085.9000071309208
1.190471933048066 13827.0 535.8481441067489 15177.5 576.231130602318 17356.0 632.5631010527339 21162.0 711.3648355099409 24971.5 778.0721884421438 30249.0 861.0660954658489 34457.0 919.4095106806747 44349.5 1049.3315781244678
1.3357314782084608 12781.5 512.9844173764016 14048.0 552.4666613256857 16168.5 608.1961151907116 19799.5 685.2640692376646 23386.0 749.9163719915416 28447.5 831.053598068931 32416.5 887.4681581733058 41809.5 1013.6945187620568
1.498715368541934 11816.5 491.01853473991275 13030.5 529.9111741884058 15048.5 584.5317960583131 18541.5 660.1841968296957 21951.0 723.1301815195839 26724.5 801.7022778260526 30403.5 855.7427740148752 39331.0 978.4915359338929
