# Title: Modeling the JWST MIRI Counts, Insights Into the Source Properties and Role of Dust-Obscured AGN
# Authors: Edgar P. Vidal, Anna Sajina, Amber R. Banks, Matthieu Bethermin,
#          Carl Ferkinhoff, Andreea Petric, Alexandra Pope, Jianwei Lyu,
#          Vivian U, L. Y. Aaron Yung, Pallavi Patil
# Table: Total Galaxy Integral Number Counts Figure 6
# ==============================================================================
# Byte-by-byte Description of file: Vidal_2025_total_galaxy_counts.txt
# ------------------------------------------------------------------------------
#   Bytes Format Units   Label         Explanations
# ------------------------------------------------------------------------------
#   1- 21  F20.6    uJy     flux_uJy      Flux density bin center
#  23- 32  F9.6     1 / deg2 N_F560W       N(>S) for F560W
#  34- 52  F18.6    1 / deg2 e_F560W       Poisson Error on N_F560W
#  54- 63  F9.6     1 / deg2 N_F770W       N(>S) for F770W
#  65- 83  F18.6    1 / deg2 e_F770W       Poisson Error on N_F770W
#  85- 94  F9.6     1 / deg2 N_F1000W      N(>S) for F1000W
#  96-114  F18.6    1 / deg2 e_F1000W      Poisson Error on N_F1000W
# 116-125  F9.6     1 / deg2 N_F1280W      N(>S) for F1280W
# 127-145  F18.6    1 / deg2 e_F1280W      Poisson Error on N_F1280W
# 147-156  F9.6     1 / deg2 N_F1500W      N(>S) for F1500W
# 158-176  F18.6    1 / deg2 e_F1500W      Poisson Error on N_F1500W
# 178-187  F9.6     1 / deg2 N_F1800W      N(>S) for F1800W
# 189-207  F18.6    1 / deg2 e_F1800W      Poisson Error on N_F1800W
# 209-218  F9.6     1 / deg2 N_F2100W      N(>S) for F2100W
# 220-238  F18.6    1 / deg2 e_F2100W      Poisson Error on N_F2100W
# 240-249  F9.6     1 / deg2 N_F2550W      N(>S) for F2550W
# 251-269  F18.6    1 / deg2 e_F2550W      Poisson Error on N_F2550W
# ------------------------------------------------------------------------------
# Note: Effective area of sim = 2 deg^2, bin width (log) = 0.05
#       N(>S) = integral number counts (sources per deg^2 above flux S)
# ------------------------------------------------------------------------------
flux_uJy N_F560W e_F560W N_F770W e_F770W N_F1000W e_F1000W N_F1280W e_F1280W N_F1500W e_F1500W N_F1800W e_F1800W N_F2100W e_F2100W N_F2550W e_F2550W
0.16815863012500187 281392.5 2583.8698335231625 297196.0 2680.2636498820466 360394.0 3057.9007472854632 463523.5 3525.6335165093333 538925.0 3838.0183678524613 625023.0 4152.954172512825 691191.5 4379.045865626167 845831.0 4840.280661865448
0.18867708625039015 263827.0 2490.153506237038 279102.0 2585.147930886709 341299.5 2960.1907170940854 439570.5 3416.1963199078123 511401.5 3720.7078823876063 594638.5 4029.697326861153 656965.0 4248.2282444889515 802894.0 4693.75933236015
0.211699172676861 247371.5 2399.446560527241 261850.0 2492.271669118699 322838.5 2864.1152259425953 416025.5 3307.695167840196 484872.0 3605.5351859704433 565242.0 3908.4609874244975 623886.5 4119.623229034654 761606.0 4550.079131914856
0.23753037850389602 231737.5 2311.0327606993865 245779.5 2402.6321131180134 305284.0 2770.428247124832 393405.0 3201.3455086964077 459055.0 3491.9196060528984 536407.5 3788.3891339366796 592025.0 3993.406154120046 721954.0 4409.274302452227
0.2665134681387018 217204.5 2225.788992598721 230473.5 2315.150686517849 288345.5 2678.3997189392744 371504.5 3096.702066474738 434364.5 3380.8104255141147 508556.5 3670.3827781756445 561080.0 3869.0176498280493 683664.5 4270.909747742576
0.2990330295716417 203640.5 2143.436093439068 216112.5 2230.4128555330994 272208.5 2588.574889409795 350274.0 2993.671731136062 410806.5 3272.27932398096 481756.5 3554.6244091477424 530976.0 3746.3310572435294 646819.0 4135.179316372157
0.3355205776252067 190868.0 2063.522077146555 202642.0 2148.3442866409832 256761.5 2500.6914438696936 330287.5 2893.7054868332975 388085.5 3165.6936776677717 455667.5 3440.4118879427538 502086.0 3626.1437034994688 611355.0 4002.017760358418
0.37646027989353636 178946.0 1986.314564558725 189947.5 2068.6746562916464 241906.0 2414.507048530398 310900.5 2795.2499130956976 366284.0 3061.287020791881 430703.0 3328.6878976810376 474414.0 3508.517175879208 577228.0 3871.3904278433583
0.4223953813522303 167628.0 1911.0882393793038 177901.5 1991.0666670121916 227642.5 2330.0573593657837 292641.0 2699.7001878213673 345297.5 2958.8504550548355 406792.5 3219.347831831414 447835.0 3393.237082194305 544919.0 3744.290073791924
0.4739354128891179 156984.0 1838.1362003399458 166525.5 1915.6478364723323 214117.0 2247.8214183180885 275136.5 2606.1467271691818 325494.5 2859.3441738460597 383747.5 3112.004923355819 422574.5 3280.8526971579486 513856.0 3619.6646349762473
